replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,big_core_width,big_core_rob_size,big_core_num_int_regs,big_core_num_fp_regs,small_core_width,small_core_rob_size,small_core_num_int_regs,small_core_num_fp_regs,matsize,experiment_index
LRURP,Tagged,1,1,1,10,40,50,50,2,30,40,40,96,0
LRURP,Tagged,1,1,2,10,40,50,50,2,30,40,40,96,1
LRURP,Tagged,1,1,3,10,40,50,50,2,30,40,40,96,2
LRURP,Tagged,1,2,1,10,40,50,50,2,30,40,40,96,3
LRURP,Tagged,1,2,2,10,40,50,50,2,30,40,40,96,4
LRURP,Tagged,1,2,3,10,40,50,50,2,30,40,40,96,5
LRURP,Tagged,1,3,1,10,40,50,50,2,30,40,40,96,6
LRURP,Tagged,1,3,2,10,40,50,50,2,30,40,40,96,7
LRURP,Tagged,1,3,3,10,40,50,50,2,30,40,40,96,8
LRURP,Tagged,2,1,1,10,40,50,50,2,30,40,40,96,9
LRURP,Tagged,2,1,2,10,40,50,50,2,30,40,40,96,10
LRURP,Tagged,2,1,3,10,40,50,50,2,30,40,40,96,11
LRURP,Tagged,2,2,1,10,40,50,50,2,30,40,40,96,12
LRURP,Tagged,2,2,2,10,40,50,50,2,30,40,40,96,13
LRURP,Tagged,2,2,3,10,40,50,50,2,30,40,40,96,14
LRURP,Tagged,2,3,1,10,40,50,50,2,30,40,40,96,15
LRURP,Tagged,2,3,2,10,40,50,50,2,30,40,40,96,16
LRURP,Tagged,2,3,3,10,40,50,50,2,30,40,40,96,17
LRURP,Tagged,3,1,1,10,40,50,50,2,30,40,40,96,18
LRURP,Tagged,3,1,2,10,40,50,50,2,30,40,40,96,19
LRURP,Tagged,3,1,3,10,40,50,50,2,30,40,40,96,20
LRURP,Tagged,3,2,1,10,40,50,50,2,30,40,40,96,21
LRURP,Tagged,3,2,2,10,40,50,50,2,30,40,40,96,22
LRURP,Tagged,3,2,3,10,40,50,50,2,30,40,40,96,23
LRURP,Tagged,3,3,1,10,40,50,50,2,30,40,40,96,24
LRURP,Tagged,3,3,2,10,40,50,50,2,30,40,40,96,25
LRURP,Tagged,3,3,3,10,40,50,50,2,30,40,40,96,26
LRURP,Stride,1,1,1,10,40,50,50,2,30,40,40,96,27
LRURP,Stride,1,1,2,10,40,50,50,2,30,40,40,96,28
LRURP,Stride,1,1,3,10,40,50,50,2,30,40,40,96,29
LRURP,Stride,1,2,1,10,40,50,50,2,30,40,40,96,30
LRURP,Stride,1,2,2,10,40,50,50,2,30,40,40,96,31
LRURP,Stride,1,2,3,10,40,50,50,2,30,40,40,96,32
LRURP,Stride,1,3,1,10,40,50,50,2,30,40,40,96,33
LRURP,Stride,1,3,2,10,40,50,50,2,30,40,40,96,34
LRURP,Stride,1,3,3,10,40,50,50,2,30,40,40,96,35
LRURP,Stride,2,1,1,10,40,50,50,2,30,40,40,96,36
LRURP,Stride,2,1,2,10,40,50,50,2,30,40,40,96,37
LRURP,Stride,2,1,3,10,40,50,50,2,30,40,40,96,38
LRURP,Stride,2,2,1,10,40,50,50,2,30,40,40,96,39
LRURP,Stride,2,2,2,10,40,50,50,2,30,40,40,96,40
LRURP,Stride,2,2,3,10,40,50,50,2,30,40,40,96,41
LRURP,Stride,2,3,1,10,40,50,50,2,30,40,40,96,42
LRURP,Stride,2,3,2,10,40,50,50,2,30,40,40,96,43
LRURP,Stride,2,3,3,10,40,50,50,2,30,40,40,96,44
LRURP,Stride,3,1,1,10,40,50,50,2,30,40,40,96,45
LRURP,Stride,3,1,2,10,40,50,50,2,30,40,40,96,46
LRURP,Stride,3,1,3,10,40,50,50,2,30,40,40,96,47
LRURP,Stride,3,2,1,10,40,50,50,2,30,40,40,96,48
LRURP,Stride,3,2,2,10,40,50,50,2,30,40,40,96,49
LRURP,Stride,3,2,3,10,40,50,50,2,30,40,40,96,50
LRURP,Stride,3,3,1,10,40,50,50,2,30,40,40,96,51
LRURP,Stride,3,3,2,10,40,50,50,2,30,40,40,96,52
LRURP,Stride,3,3,3,10,40,50,50,2,30,40,40,96,53
LRURP,Signature,1,1,1,10,40,50,50,2,30,40,40,96,54
LRURP,Signature,1,1,2,10,40,50,50,2,30,40,40,96,55
LRURP,Signature,1,1,3,10,40,50,50,2,30,40,40,96,56
LRURP,Signature,1,2,1,10,40,50,50,2,30,40,40,96,57
LRURP,Signature,1,2,2,10,40,50,50,2,30,40,40,96,58
LRURP,Signature,1,2,3,10,40,50,50,2,30,40,40,96,59
LRURP,Signature,1,3,1,10,40,50,50,2,30,40,40,96,60
LRURP,Signature,1,3,2,10,40,50,50,2,30,40,40,96,61
LRURP,Signature,1,3,3,10,40,50,50,2,30,40,40,96,62
LRURP,Signature,2,1,1,10,40,50,50,2,30,40,40,96,63
LRURP,Signature,2,1,2,10,40,50,50,2,30,40,40,96,64
LRURP,Signature,2,1,3,10,40,50,50,2,30,40,40,96,65
LRURP,Signature,2,2,1,10,40,50,50,2,30,40,40,96,66
LRURP,Signature,2,2,2,10,40,50,50,2,30,40,40,96,67
LRURP,Signature,2,2,3,10,40,50,50,2,30,40,40,96,68
LRURP,Signature,2,3,1,10,40,50,50,2,30,40,40,96,69
LRURP,Signature,2,3,2,10,40,50,50,2,30,40,40,96,70
LRURP,Signature,2,3,3,10,40,50,50,2,30,40,40,96,71
LRURP,Signature,3,1,1,10,40,50,50,2,30,40,40,96,72
LRURP,Signature,3,1,2,10,40,50,50,2,30,40,40,96,73
LRURP,Signature,3,1,3,10,40,50,50,2,30,40,40,96,74
LRURP,Signature,3,2,1,10,40,50,50,2,30,40,40,96,75
LRURP,Signature,3,2,2,10,40,50,50,2,30,40,40,96,76
LRURP,Signature,3,2,3,10,40,50,50,2,30,40,40,96,77
LRURP,Signature,3,3,1,10,40,50,50,2,30,40,40,96,78
LRURP,Signature,3,3,2,10,40,50,50,2,30,40,40,96,79
LRURP,Signature,3,3,3,10,40,50,50,2,30,40,40,96,80
LFURP,Tagged,1,1,1,10,40,50,50,2,30,40,40,96,81
LFURP,Tagged,1,1,2,10,40,50,50,2,30,40,40,96,82
LFURP,Tagged,1,1,3,10,40,50,50,2,30,40,40,96,83
LFURP,Tagged,1,2,1,10,40,50,50,2,30,40,40,96,84
LFURP,Tagged,1,2,2,10,40,50,50,2,30,40,40,96,85
LFURP,Tagged,1,2,3,10,40,50,50,2,30,40,40,96,86
LFURP,Tagged,1,3,1,10,40,50,50,2,30,40,40,96,87
LFURP,Tagged,1,3,2,10,40,50,50,2,30,40,40,96,88
LFURP,Tagged,1,3,3,10,40,50,50,2,30,40,40,96,89
LFURP,Tagged,2,1,1,10,40,50,50,2,30,40,40,96,90
LFURP,Tagged,2,1,2,10,40,50,50,2,30,40,40,96,91
LFURP,Tagged,2,1,3,10,40,50,50,2,30,40,40,96,92
LFURP,Tagged,2,2,1,10,40,50,50,2,30,40,40,96,93
LFURP,Tagged,2,2,2,10,40,50,50,2,30,40,40,96,94
LFURP,Tagged,2,2,3,10,40,50,50,2,30,40,40,96,95
LFURP,Tagged,2,3,1,10,40,50,50,2,30,40,40,96,96
LFURP,Tagged,2,3,2,10,40,50,50,2,30,40,40,96,97
LFURP,Tagged,2,3,3,10,40,50,50,2,30,40,40,96,98
LFURP,Tagged,3,1,1,10,40,50,50,2,30,40,40,96,99
LFURP,Tagged,3,1,2,10,40,50,50,2,30,40,40,96,100
LFURP,Tagged,3,1,3,10,40,50,50,2,30,40,40,96,101
LFURP,Tagged,3,2,1,10,40,50,50,2,30,40,40,96,102
LFURP,Tagged,3,2,2,10,40,50,50,2,30,40,40,96,103
LFURP,Tagged,3,2,3,10,40,50,50,2,30,40,40,96,104
LFURP,Tagged,3,3,1,10,40,50,50,2,30,40,40,96,105
LFURP,Tagged,3,3,2,10,40,50,50,2,30,40,40,96,106
LFURP,Tagged,3,3,3,10,40,50,50,2,30,40,40,96,107
LFURP,Stride,1,1,1,10,40,50,50,2,30,40,40,96,108
LFURP,Stride,1,1,2,10,40,50,50,2,30,40,40,96,109
LFURP,Stride,1,1,3,10,40,50,50,2,30,40,40,96,110
LFURP,Stride,1,2,1,10,40,50,50,2,30,40,40,96,111
LFURP,Stride,1,2,2,10,40,50,50,2,30,40,40,96,112
LFURP,Stride,1,2,3,10,40,50,50,2,30,40,40,96,113
LFURP,Stride,1,3,1,10,40,50,50,2,30,40,40,96,114
LFURP,Stride,1,3,2,10,40,50,50,2,30,40,40,96,115
LFURP,Stride,1,3,3,10,40,50,50,2,30,40,40,96,116
LFURP,Stride,2,1,1,10,40,50,50,2,30,40,40,96,117
LFURP,Stride,2,1,2,10,40,50,50,2,30,40,40,96,118
LFURP,Stride,2,1,3,10,40,50,50,2,30,40,40,96,119
LFURP,Stride,2,2,1,10,40,50,50,2,30,40,40,96,120
LFURP,Stride,2,2,2,10,40,50,50,2,30,40,40,96,121
LFURP,Stride,2,2,3,10,40,50,50,2,30,40,40,96,122
LFURP,Stride,2,3,1,10,40,50,50,2,30,40,40,96,123
LFURP,Stride,2,3,2,10,40,50,50,2,30,40,40,96,124
LFURP,Stride,2,3,3,10,40,50,50,2,30,40,40,96,125
LFURP,Stride,3,1,1,10,40,50,50,2,30,40,40,96,126
LFURP,Stride,3,1,2,10,40,50,50,2,30,40,40,96,127
LFURP,Stride,3,1,3,10,40,50,50,2,30,40,40,96,128
LFURP,Stride,3,2,1,10,40,50,50,2,30,40,40,96,129
LFURP,Stride,3,2,2,10,40,50,50,2,30,40,40,96,130
LFURP,Stride,3,2,3,10,40,50,50,2,30,40,40,96,131
LFURP,Stride,3,3,1,10,40,50,50,2,30,40,40,96,132
LFURP,Stride,3,3,2,10,40,50,50,2,30,40,40,96,133
LFURP,Stride,3,3,3,10,40,50,50,2,30,40,40,96,134
LFURP,Signature,1,1,1,10,40,50,50,2,30,40,40,96,135
LFURP,Signature,1,1,2,10,40,50,50,2,30,40,40,96,136
LFURP,Signature,1,1,3,10,40,50,50,2,30,40,40,96,137
LFURP,Signature,1,2,1,10,40,50,50,2,30,40,40,96,138
LFURP,Signature,1,2,2,10,40,50,50,2,30,40,40,96,139
LFURP,Signature,1,2,3,10,40,50,50,2,30,40,40,96,140
LFURP,Signature,1,3,1,10,40,50,50,2,30,40,40,96,141
LFURP,Signature,1,3,2,10,40,50,50,2,30,40,40,96,142
LFURP,Signature,1,3,3,10,40,50,50,2,30,40,40,96,143
LFURP,Signature,2,1,1,10,40,50,50,2,30,40,40,96,144
LFURP,Signature,2,1,2,10,40,50,50,2,30,40,40,96,145
LFURP,Signature,2,1,3,10,40,50,50,2,30,40,40,96,146
LFURP,Signature,2,2,1,10,40,50,50,2,30,40,40,96,147
LFURP,Signature,2,2,2,10,40,50,50,2,30,40,40,96,148
LFURP,Signature,2,2,3,10,40,50,50,2,30,40,40,96,149
LFURP,Signature,2,3,1,10,40,50,50,2,30,40,40,96,150
LFURP,Signature,2,3,2,10,40,50,50,2,30,40,40,96,151
LFURP,Signature,2,3,3,10,40,50,50,2,30,40,40,96,152
LFURP,Signature,3,1,1,10,40,50,50,2,30,40,40,96,153
LFURP,Signature,3,1,2,10,40,50,50,2,30,40,40,96,154
LFURP,Signature,3,1,3,10,40,50,50,2,30,40,40,96,155
LFURP,Signature,3,2,1,10,40,50,50,2,30,40,40,96,156
LFURP,Signature,3,2,2,10,40,50,50,2,30,40,40,96,157
LFURP,Signature,3,2,3,10,40,50,50,2,30,40,40,96,158
LFURP,Signature,3,3,1,10,40,50,50,2,30,40,40,96,159
LFURP,Signature,3,3,2,10,40,50,50,2,30,40,40,96,160
LFURP,Signature,3,3,3,10,40,50,50,2,30,40,40,96,161
SecondChanceRP,Tagged,1,1,1,10,40,50,50,2,30,40,40,96,162
SecondChanceRP,Tagged,1,1,2,10,40,50,50,2,30,40,40,96,163
SecondChanceRP,Tagged,1,1,3,10,40,50,50,2,30,40,40,96,164
SecondChanceRP,Tagged,1,2,1,10,40,50,50,2,30,40,40,96,165
SecondChanceRP,Tagged,1,2,2,10,40,50,50,2,30,40,40,96,166
SecondChanceRP,Tagged,1,2,3,10,40,50,50,2,30,40,40,96,167
SecondChanceRP,Tagged,1,3,1,10,40,50,50,2,30,40,40,96,168
SecondChanceRP,Tagged,1,3,2,10,40,50,50,2,30,40,40,96,169
SecondChanceRP,Tagged,1,3,3,10,40,50,50,2,30,40,40,96,170
SecondChanceRP,Tagged,2,1,1,10,40,50,50,2,30,40,40,96,171
SecondChanceRP,Tagged,2,1,2,10,40,50,50,2,30,40,40,96,172
SecondChanceRP,Tagged,2,1,3,10,40,50,50,2,30,40,40,96,173
SecondChanceRP,Tagged,2,2,1,10,40,50,50,2,30,40,40,96,174
SecondChanceRP,Tagged,2,2,2,10,40,50,50,2,30,40,40,96,175
SecondChanceRP,Tagged,2,2,3,10,40,50,50,2,30,40,40,96,176
SecondChanceRP,Tagged,2,3,1,10,40,50,50,2,30,40,40,96,177
SecondChanceRP,Tagged,2,3,2,10,40,50,50,2,30,40,40,96,178
SecondChanceRP,Tagged,2,3,3,10,40,50,50,2,30,40,40,96,179
SecondChanceRP,Tagged,3,1,1,10,40,50,50,2,30,40,40,96,180
SecondChanceRP,Tagged,3,1,2,10,40,50,50,2,30,40,40,96,181
SecondChanceRP,Tagged,3,1,3,10,40,50,50,2,30,40,40,96,182
SecondChanceRP,Tagged,3,2,1,10,40,50,50,2,30,40,40,96,183
SecondChanceRP,Tagged,3,2,2,10,40,50,50,2,30,40,40,96,184
SecondChanceRP,Tagged,3,2,3,10,40,50,50,2,30,40,40,96,185
SecondChanceRP,Tagged,3,3,1,10,40,50,50,2,30,40,40,96,186
SecondChanceRP,Tagged,3,3,2,10,40,50,50,2,30,40,40,96,187
SecondChanceRP,Tagged,3,3,3,10,40,50,50,2,30,40,40,96,188
SecondChanceRP,Stride,1,1,1,10,40,50,50,2,30,40,40,96,189
SecondChanceRP,Stride,1,1,2,10,40,50,50,2,30,40,40,96,190
SecondChanceRP,Stride,1,1,3,10,40,50,50,2,30,40,40,96,191
SecondChanceRP,Stride,1,2,1,10,40,50,50,2,30,40,40,96,192
SecondChanceRP,Stride,1,2,2,10,40,50,50,2,30,40,40,96,193
SecondChanceRP,Stride,1,2,3,10,40,50,50,2,30,40,40,96,194
SecondChanceRP,Stride,1,3,1,10,40,50,50,2,30,40,40,96,195
SecondChanceRP,Stride,1,3,2,10,40,50,50,2,30,40,40,96,196
SecondChanceRP,Stride,1,3,3,10,40,50,50,2,30,40,40,96,197
SecondChanceRP,Stride,2,1,1,10,40,50,50,2,30,40,40,96,198
SecondChanceRP,Stride,2,1,2,10,40,50,50,2,30,40,40,96,199
SecondChanceRP,Stride,2,1,3,10,40,50,50,2,30,40,40,96,200
SecondChanceRP,Stride,2,2,1,10,40,50,50,2,30,40,40,96,201
SecondChanceRP,Stride,2,2,2,10,40,50,50,2,30,40,40,96,202
SecondChanceRP,Stride,2,2,3,10,40,50,50,2,30,40,40,96,203
SecondChanceRP,Stride,2,3,1,10,40,50,50,2,30,40,40,96,204
SecondChanceRP,Stride,2,3,2,10,40,50,50,2,30,40,40,96,205
SecondChanceRP,Stride,2,3,3,10,40,50,50,2,30,40,40,96,206
SecondChanceRP,Stride,3,1,1,10,40,50,50,2,30,40,40,96,207
SecondChanceRP,Stride,3,1,2,10,40,50,50,2,30,40,40,96,208
SecondChanceRP,Stride,3,1,3,10,40,50,50,2,30,40,40,96,209
SecondChanceRP,Stride,3,2,1,10,40,50,50,2,30,40,40,96,210
SecondChanceRP,Stride,3,2,2,10,40,50,50,2,30,40,40,96,211
SecondChanceRP,Stride,3,2,3,10,40,50,50,2,30,40,40,96,212
SecondChanceRP,Stride,3,3,1,10,40,50,50,2,30,40,40,96,213
SecondChanceRP,Stride,3,3,2,10,40,50,50,2,30,40,40,96,214
SecondChanceRP,Stride,3,3,3,10,40,50,50,2,30,40,40,96,215
SecondChanceRP,Signature,1,1,1,10,40,50,50,2,30,40,40,96,216
SecondChanceRP,Signature,1,1,2,10,40,50,50,2,30,40,40,96,217
SecondChanceRP,Signature,1,1,3,10,40,50,50,2,30,40,40,96,218
SecondChanceRP,Signature,1,2,1,10,40,50,50,2,30,40,40,96,219
SecondChanceRP,Signature,1,2,2,10,40,50,50,2,30,40,40,96,220
SecondChanceRP,Signature,1,2,3,10,40,50,50,2,30,40,40,96,221
SecondChanceRP,Signature,1,3,1,10,40,50,50,2,30,40,40,96,222
SecondChanceRP,Signature,1,3,2,10,40,50,50,2,30,40,40,96,223
SecondChanceRP,Signature,1,3,3,10,40,50,50,2,30,40,40,96,224
SecondChanceRP,Signature,2,1,1,10,40,50,50,2,30,40,40,96,225
SecondChanceRP,Signature,2,1,2,10,40,50,50,2,30,40,40,96,226
SecondChanceRP,Signature,2,1,3,10,40,50,50,2,30,40,40,96,227
SecondChanceRP,Signature,2,2,1,10,40,50,50,2,30,40,40,96,228
SecondChanceRP,Signature,2,2,2,10,40,50,50,2,30,40,40,96,229
SecondChanceRP,Signature,2,2,3,10,40,50,50,2,30,40,40,96,230
SecondChanceRP,Signature,2,3,1,10,40,50,50,2,30,40,40,96,231
SecondChanceRP,Signature,2,3,2,10,40,50,50,2,30,40,40,96,232
SecondChanceRP,Signature,2,3,3,10,40,50,50,2,30,40,40,96,233
SecondChanceRP,Signature,3,1,1,10,40,50,50,2,30,40,40,96,234
SecondChanceRP,Signature,3,1,2,10,40,50,50,2,30,40,40,96,235
SecondChanceRP,Signature,3,1,3,10,40,50,50,2,30,40,40,96,236
SecondChanceRP,Signature,3,2,1,10,40,50,50,2,30,40,40,96,237
SecondChanceRP,Signature,3,2,2,10,40,50,50,2,30,40,40,96,238
SecondChanceRP,Signature,3,2,3,10,40,50,50,2,30,40,40,96,239
SecondChanceRP,Signature,3,3,1,10,40,50,50,2,30,40,40,96,240
SecondChanceRP,Signature,3,3,2,10,40,50,50,2,30,40,40,96,241
SecondChanceRP,Signature,3,3,3,10,40,50,50,2,30,40,40,96,242
